Time,ID,Event context,Component,Event name,Origin
"7/08/20, 01:20",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:19",2,Front page,System,Course viewed,web
"7/08/20, 01:19",2,System,System,User has logged in,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,Assignment,Feedback viewed,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,Assignment,A submission has been submitted.,web
"7/08/20, 01:19",#N/A,System,System,Notification sent,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,File submissions,Submission created.,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,File submissions,A file has been uploaded.,web
"7/08/20, 01:19",3,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:18",6,Assignment: Stop motion video,Assignment,Submission form viewed.,web
"7/08/20, 01:18",6,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:18",6,Assignment: Stop motion video,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:18",6,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,Submission form viewed.,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:18",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,Submission form viewed.,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,Assignment,Feedback viewed,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,Assignment,A submission has been submitted.,web
"7/08/20, 01:18",#N/A,System,System,Notification sent,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,File submissions,Submission updated.,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,File submissions,A file has been uploaded.,web
"7/08/20, 01:18",6,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,Feedback viewed,web
"7/08/20, 01:18",3,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:17",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:17",3,Assignment: Stop motion video,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:17",3,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:17",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:17",3,Forum: Stop_motion_Making,Forum,Course module viewed,web
"7/08/20, 01:17",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:17",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:16",3,Assignment: Stop motion video,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:16",3,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:16",3,Assignment: Stop motion video,Assignment,A submission has been submitted.,web
"7/08/20, 01:16",#N/A,System,System,Notification sent,web
"7/08/20, 01:16",3,Assignment: Stop motion video,File submissions,Submission created.,web
"7/08/20, 01:16",3,Assignment: Stop motion video,File submissions,A file has been uploaded.,web
"7/08/20, 01:16",3,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:15",6,Assignment: you want everyone to read,Assignment,Submission form viewed.,web
"7/08/20, 01:15",6,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:15",6,Assignment: you want everyone to read,Assignment,The status of the submission has been viewed.,web
"7/08/20, 01:15",6,Assignment: you want everyone to read,Assignment,Feedback viewed,web
"7/08/20, 01:15",6,Assignment: you want everyone to read,Assignment,Course module viewed,web
"7/08/20, 01:15",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:15",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"7/08/20, 01:15",6,System,System,User has logged in,web
"7/08/20, 01:13",2,Front page,System,Course viewed,web
"7/08/20, 01:13",2,System,System,User has logged in,web
"7/08/20, 01:05",3,Assignment: Stop motion video,Assignment,Submission form viewed.,web
"7/08/20, 01:05",3,Assignment: Stop motion video,Assignment,Course module viewed,web
"7/08/20, 01:05",3,System,System,User has logged in,web
"6/08/20, 14:11",2,Assignment: Stop motion video,Assignment,Grading form viewed,web
"6/08/20, 14:11",2,Assignment: Stop motion video,Assignment,Grading table viewed,web
"6/08/20, 14:11",2,Assignment: Stop motion video,Assignment,Course module viewed,web
"6/08/20, 14:09",2,Assignment: Stop motion video,Assignment,The status of the submission has been viewed.,web
"6/08/20, 14:09",2,Assignment: Stop motion video,Assignment,Course module viewed,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"6/08/20, 14:09",2,Assignment: Stop motion video,System,Course module created,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Grade item created,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Calendar event created,web
"6/08/20, 14:09",2,Course: Introduction to Learning Analytics,System,Calendar event created,web
"6/08/20, 14:04",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"6/08/20, 14:03",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"6/08/20, 14:03",2,Forum: Announcements,Forum,Course module viewed,web
"6/08/20, 14:02",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"6/08/20, 14:02",2,Course: Introduction to Moodle,System,Course viewed,web
"6/08/20, 14:02",2,Front page,System,Course viewed,web
"6/08/20, 14:02",2,System,System,User has logged in,web
"30/07/20, 11:25",2,Survey: Course Feedback,Survey,Survey report viewed,web
"30/07/20, 11:25",2,Survey: Course Feedback,Survey,Survey report viewed,web
"30/07/20, 11:25",2,Survey: Course Feedback,Survey,Survey report viewed,web
"30/07/20, 11:24",2,Survey: Course Feedback,Survey,Survey report viewed,web
"30/07/20, 11:24",2,Survey: Course Feedback,Survey,Course module viewed,web
"30/07/20, 11:23",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:23",2,Front page,System,Course viewed,web
"30/07/20, 11:10",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:10",3,Assignment: you want everyone to read,Assignment,The status of the submission has been viewed.,web
"30/07/20, 11:10",3,Assignment: you want everyone to read,Assignment,Feedback viewed,web
"30/07/20, 11:10",3,Assignment: you want everyone to read,Assignment,Course module viewed,web
"30/07/20, 11:09",2,Front page,Logs,Log report viewed,web
"30/07/20, 11:09",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:09",3,URL: Erik Duval,URL,Course module viewed,web
"30/07/20, 11:09",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:09",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:09",3,Page: LA course webpage,Page,Course module viewed,web
"30/07/20, 11:09",2,Front page,System,Course viewed,web
"30/07/20, 11:08",3,File: Intro to LA,File,Course module viewed,web
"30/07/20, 11:08",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:07",2,Front page,Logs,Log report viewed,web
"30/07/20, 11:06",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:06",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:06",2,Front page,System,Course viewed,web
"30/07/20, 11:06",2,Course: Introduction to Moodle,System,Course viewed,web
"30/07/20, 11:06",2,Course: Introduction to Moodle,System,Course viewed,web
"30/07/20, 11:06",2,URL: Guide for new administrators,URL,Course module viewed,web
"30/07/20, 11:06",2,Course: Introduction to Moodle,System,Course viewed,web
"30/07/20, 11:06",2,Front page,System,Course viewed,web
"30/07/20, 11:06",2,System,System,User has logged in,web
"30/07/20, 11:06",3,File: Intro to LA,File,Course module viewed,web
"30/07/20, 11:05",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:05",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"30/07/20, 11:05",3,System,System,User has logged in,web
"28/07/20, 12:25",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:25",3,Course: Introduction to Learning Analytics,System,User list viewed,web
"28/07/20, 12:23",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:23",2,Front page,Logs,Log report viewed,web
"28/07/20, 12:23",2,Front page,Logs,Log report viewed,web
"28/07/20, 12:22",2,System,Live logs,Live log report viewed,web
"28/07/20, 12:22",2,Front page,System,Course viewed,web
"28/07/20, 12:21",2,Front page,Logs,Log report viewed,web
"28/07/20, 12:21",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:21",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:21",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:21",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:21",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:20",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:20",2,Workshop: Workshop on learning new language,Workshop,Phase switched,web
"28/07/20, 12:20",4,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:20",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:20",6,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:20",4,Survey: Course Feedback,Survey,Survey response submitted,web
"28/07/20, 12:20",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:19",3,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:19",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:19",6,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:19",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:19",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:19",2,Workshop: Workshop on learning new language,Workshop,Phase switched,web
"28/07/20, 12:19",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:19",6,Workshop: Workshop on learning new language,Workshop,Submission viewed,web
"28/07/20, 12:19",6,Workshop: Workshop on learning new language,Workshop,A submission has been uploaded.,web
"28/07/20, 12:19",6,Workshop: Workshop on learning new language,Workshop,Submission updated,web
"28/07/20, 12:19",6,Workshop: Workshop on learning new language,Workshop,Submission created,web
"28/07/20, 12:19",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",4,Survey: Course Feedback,Survey,Course module viewed,web
"28/07/20, 12:18",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:18",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",4,Workshop: Workshop on learning new language,Workshop,Submission viewed,web
"28/07/20, 12:18",4,Workshop: Workshop on learning new language,Workshop,A submission has been uploaded.,web
"28/07/20, 12:18",4,Workshop: Workshop on learning new language,Workshop,Submission updated,web
"28/07/20, 12:18",4,Workshop: Workshop on learning new language,Workshop,Submission created,web
"28/07/20, 12:18",6,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",3,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:18",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:18",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:18",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:17",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:17",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:17",4,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:17",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:17",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:17",4,Course: Introduction to Learning Analytics,User report,Grade user report viewed,web
"28/07/20, 12:17",3,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:17",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:17",3,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:17",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:17",2,Workshop: Workshop on learning new language,Workshop,Phase switched,web
"28/07/20, 12:17",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:16",6,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:16",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:16",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:16",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page locks deleted,web
"28/07/20, 12:16",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page updated,web
"28/07/20, 12:16",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:16",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:16",6,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:16",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:16",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:16",2,Workshop: Workshop on learning new language,System,Course module updated,web
"28/07/20, 12:16",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:16",4,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:16",4,Wiki: WIKI on How to Game the System,Wiki,Comment created,web
"28/07/20, 12:16",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:16",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page locks deleted,web
"28/07/20, 12:16",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page updated,web
"28/07/20, 12:15",2,Workshop: Workshop on learning new language,Workshop,Course module viewed,web
"28/07/20, 12:15",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:15",2,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:15",4,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:15",2,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:15",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:15",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:15",2,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:15",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:15",3,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:15",4,Front page,System,Course viewed,web
"28/07/20, 12:15",2,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:15",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:15",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page locks deleted,web
"28/07/20, 12:15",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page updated,web
"28/07/20, 12:15",2,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:15",4,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:15",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:15",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:15",2,Label: Diagnostics,System,Course module created,web
"28/07/20, 12:15",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:14",6,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:14",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:14",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:14",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:14",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page locks deleted,web
"28/07/20, 12:14",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page updated,web
"28/07/20, 12:14",6,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:14",3,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:14",3,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:14",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:14",6,Front page,System,Course viewed,web
"28/07/20, 12:14",3,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:14",3,Wiki: WIKI on How to Game the System,Wiki,Comment deleted,web
"28/07/20, 12:14",3,Wiki: WIKI on How to Game the System,Wiki,Comment created,web
"28/07/20, 12:14",4,Assignment: you want everyone to read,Assignment,The status of the submission has been viewed.,web
"28/07/20, 12:14",4,Assignment: you want everyone to read,Assignment,Feedback viewed,web
"28/07/20, 12:14",4,Assignment: you want everyone to read,Assignment,Course module viewed,web
"28/07/20, 12:13",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:13",3,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:13",3,Wiki: WIKI on How to Game the System,Wiki,Comment created,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Workshop: Workshop on learning new language,System,Course module created,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item updated,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item created,web
"28/07/20, 12:13",2,Course: Introduction to Learning Analytics,System,Grade item created,web
"28/07/20, 12:13",3,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:13",3,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:13",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:13",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:13",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:13",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:12",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:12",6,Course: Introduction to Learning Analytics,System,User profile viewed,web
"28/07/20, 12:12",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:12",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:12",4,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:12",4,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:12",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:11",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:11",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page map viewed,web
"28/07/20, 12:11",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:11",4,Course: Introduction to Learning Analytics,System,Badge listing viewed,web
"28/07/20, 12:11",6,Wiki: WIKI on How to Game the System,Wiki,Wiki history viewed,web
"28/07/20, 12:11",3,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:11",6,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:11",3,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:11",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:11",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page locks deleted,web
"28/07/20, 12:11",6,Wiki: WIKI on How to Game the System,Wiki,Wiki page updated,web
"28/07/20, 12:11",3,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:11",4,Survey: Course Feedback,Survey,Course module viewed,web
"28/07/20, 12:11",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:10",4,Book: TREASURE ISLAND,Book,Chapter viewed,web
"28/07/20, 12:10",4,Book: TREASURE ISLAND,Book,Course module viewed,web
"28/07/20, 12:10",6,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:10",4,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:10",4,Wiki: WIKI on How to Game the System,Wiki,Comment created,web
"28/07/20, 12:10",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:10",6,Survey: Course Feedback,Survey,Survey response submitted,web
"28/07/20, 12:10",4,Wiki: WIKI on How to Game the System,Wiki,Comments viewed,web
"28/07/20, 12:10",4,Wiki: WIKI on How to Game the System,Wiki,Course module viewed,web
"28/07/20, 12:10",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:10",4,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:09",2,Wiki: WIKI on How to Game the System,Wiki,Wiki page viewed,web
"28/07/20, 12:09",2,Wiki: WIKI on How to Game the System,Wiki,Wiki page locks deleted,web
"28/07/20, 12:09",2,Wiki: WIKI on How to Game the System,Wiki,Wiki page updated,web
"28/07/20, 12:09",2,Wiki: WIKI on How to Game the System,Wiki,Wiki page created,web
"28/07/20, 12:09",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:09",2,Wiki: WIKI on How to Game the System,System,Course module created,web
"28/07/20, 12:08",2,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:08",6,Survey: Course Feedback,Survey,Course module viewed,web
"28/07/20, 12:08",6,Course: Introduction to Learning Analytics,System,Course viewed,web
"28/07/20, 12:08",2,Course: Introduction to Learning Analytics,System,Group member added,web
"28/07/20, 12:07",3,Survey: Course Feedback,Survey,Course module viewed,web
"28/07/20, 12:07",2,Course: Introduction to Learning Analytics,System,Group created,web
